,날짜,종목명,종가(백만원),거래량(천주),전일대비
151,20251216,KRX 자동차,2485.66,14758315,-47.17
152,20251216,KRX 헬스케어,4881.50,38287102,-46.23
153,20251217,KRX 건설,830.52,55711227,13.58
154,20251217,KRX 자동차,2509.42,20114341,23.76
155,20251217,KRX 헬스케어,4796.50,25323016,-85.0
156,20251218,KRX 건설,819.46,61044416,-11.06
157,20251218,KRX 자동차,2459.08,9597483,-50.34
158,20251218,KRX 헬스케어,4775.98,21146956,-20.52
159,20251219,KRX 건설,820.60,36010498,1.14
160,20251219,KRX 자동차,2515.84,12805626,56.76
161,20251219,KRX 헬스케어,4861.55,30167553,85.57
162,20251222,KRX 건설,837.89,75585183,17.29
163,20251222,KRX 자동차,2523.31,13166375,7.47
164,20251222,KRX 헬스케어,4817.14,21023509,-44.41
165,20251223,KRX 건설,832.23,39911145,-5.66
166,20251223,KRX 자동차,2496.37,12396205,-26.94
167,20251223,KRX 헬스케어,4775.53,19799822,-41.61
168,20251224,KRX 건설,833.39,52730142,1.16
169,20251224,KRX 자동차,2502.26,8634285,5.89
170,20251224,KRX 헬스케어,4737.30,22673851,-38.23
171,20251226,KRX 건설,821.56,33118642,-11.83
172,20251226,KRX 자동차,2469.70,8059058,-32.56
173,20251226,KRX 헬스케어,4770.53,24416928,33.23
